AreaCode,Year,LitresPerCapita,RecordStatus
ARM,2000,2.87,Recorded
ARM,2000,0.81,Unrecorded
ARM,2001,3.68,Total
ARM,2001,2.87,Recorded
ARM,2001,0.81,Unrecorded
ARM,2002,3.7,Total
ARM,2002,2.89,Recorded
ARM,2002,0.81,Unrecorded
ARM,2003,3.98,Total
ARM,2003,3.15,Recorded
ARM,2003,0.83,Unrecorded
ARM,2004,4.45,Total
ARM,2004,3.57,Recorded
ARM,2004,0.88,Unrecorded
ARM,2005,4.79,Total
ARM,2005,3.89,Recorded
ARM,2005,0.9,Unrecorded
ARM,2006,4.890000000000001,Total
ARM,2006,3.99,Recorded
ARM,2006,0.9,Unrecorded
ARM,2007,4.83,Total
ARM,2007,3.94,Recorded
ARM,2007,0.89,Unrecorded
ARM,2008,4.85,Total
ARM,2008,3.96,Recorded
ARM,2008,0.89,Unrecorded
ARM,2009,4.94,Total
ARM,2009,4.04,Recorded
ARM,2009,0.9,Unrecorded
ARM,2010,5.0,Total
ARM,2010,4.1,Recorded
ARM,2010,0.9,Unrecorded
ARM,2011,4.98,Total
ARM,2011,4.08,Recorded
ARM,2011,0.9,Unrecorded
ARM,2012,4.86,Total
ARM,2012,3.98,Recorded
ARM,2012,0.88,Unrecorded
ARM,2013,4.91,Total
ARM,2013,4.03,Recorded
ARM,2013,0.88,Unrecorded
ARM,2014,4.9399999999999995,Total
ARM,2014,4.06,Recorded
ARM,2014,0.88,Unrecorded
ARM,2015,4.93,Total
ARM,2015,4.05,Recorded
ARM,2015,0.88,Unrecorded
ARM,2016,4.82,Total
ARM,2016,3.96,Recorded
ARM,2016,0.86,Unrecorded
ARM,2017,4.8,Total
ARM,2017,3.95,Recorded
ARM,2017,0.85,Unrecorded
ARM,2018,4.93,Total
ARM,2018,4.08,Recorded
ARM,2018,0.85,Unrecorded
ARM,2019,4.93,Total
ARM,2019,4.08,Recorded
ARM,2019,0.85,Unrecorded
ARM,2020,4.24,Total
ARM,2020,3.44,Recorded
ARM,2020,0.8,Unrecorded
AUS,2000,10.41,Total
AUS,2000,9.85,Recorded
AUS,2000,0.56,Unrecorded
AUS,2001,10.41,Total
AUS,2001,9.85,Recorded
AUS,2001,0.56,Unrecorded
AUS,2002,10.34,Total
AUS,2002,9.78,Recorded
AUS,2002,0.56,Unrecorded
AUS,2003,10.430000000000001,Total
AUS,2003,9.88,Recorded
AUS,2003,0.55,Unrecorded
AUS,2004,10.569999999999999,Total
AUS,2004,10.04,Recorded
AUS,2004,0.53,Unrecorded
AUS,2005,10.67,Total
AUS,2005,10.15,Recorded
AUS,2005,0.52,Unrecorded
AUS,2006,10.89,Total
AUS,2006,10.39,Recorded
AUS,2006,0.5,Unrecorded
AUS,2007,11.03,Total
AUS,2007,10.54,Recorded
AUS,2007,0.49,Unrecorded
AUS,2008,11.120000000000001,Total
AUS,2008,10.65,Recorded
AUS,2008,0.47,Unrecorded
AUS,2009,11.100000000000001,Total
AUS,2009,10.63,Recorded
AUS,2009,0.47,Unrecorded
AUS,2010,10.950000000000001,Total
AUS,2010,10.48,Recorded
AUS,2010,0.47,Unrecorded
AUS,2011,10.75,Total
AUS,2011,10.28,Recorded
AUS,2011,0.47,Unrecorded
AUS,2012,10.57,Total
AUS,2012,10.11,Recorded
AUS,2012,0.46,Unrecorded
AUS,2013,10.440000000000001,Total
AUS,2013,9.98,Recorded
AUS,2013,0.46,Unrecorded
AUS,2014,10.32,Total
AUS,2014,9.86,Recorded
AUS,2014,0.46,Unrecorded
AUS,2015,10.25,Total
AUS,2015,9.79,Recorded
AUS,2015,0.46,Unrecorded
AUS,2016,10.110000000000001,Total
AUS,2016,9.65,Recorded
AUS,2016,0.46,Unrecorded
AUS,2017,10.049999999999999,Total
AUS,2017,9.6,Recorded
AUS,2017,0.45,Unrecorded
AUS,2018,9.95,Total
AUS,2018,9.5,Recorded
AUS,2018,0.45,Unrecorded
AUS,2019,9.95,Total
AUS,2019,9.5,Recorded
AUS,2019,0.45,Unrecorded
AUS,2020,10.15,Total
AUS,2020,9.72,Recorded
AUS,2020,0.43,Unrecorded
AUT,2000,13.059999999999999,Total
AUT,2000,12.53,Recorded
AUT,2000,0.53,Unrecorded
AUT,2001,13.059999999999999,Total
AUT,2001,12.53,Recorded
AUT,2001,0.53,Unrecorded
AUT,2002,12.809999999999999,Total
AUT,2002,12.27,Recorded
AUT,2002,0.54,Unrecorded
AUT,2003,12.71,Total
AUT,2003,12.17,Recorded
AUT,2003,0.54,Unrecorded
AUT,2004,12.76,Total
AUT,2004,12.23,Recorded
AUT,2004,0.53,Unrecorded
AUT,2005,12.79,Total
AUT,2005,12.27,Recorded
AUT,2005,0.52,Unrecorded
AUT,2006,12.9,Total
AUT,2006,12.4,Recorded
AUT,2006,0.5,Unrecorded
AUT,2007,12.82,Total
AUT,2007,12.33,Recorded
AUT,2007,0.49,Unrecorded
AUT,2008,12.57,Total
AUT,2008,12.07,Recorded
AUT,2008,0.5,Unrecorded
AUT,2009,12.43,Total
AUT,2009,11.93,Recorded
AUT,2009,0.5,Unrecorded
AUT,2010,12.4,Total
AUT,2010,11.9,Recorded
AUT,2010,0.5,Unrecorded
AUT,2011,12.51,Total
AUT,2011,12.03,Recorded
AUT,2011,0.48,Unrecorded
AUT,2012,12.5,Total
AUT,2012,12.03,Recorded
AUT,2012,0.47,Unrecorded
AUT,2013,12.66,Total
AUT,2013,12.2,Recorded
AUT,2013,0.46,Unrecorded
AUT,2014,12.49,Total
AUT,2014,12.03,Recorded
AUT,2014,0.46,Unrecorded
AUT,2015,12.360000000000001,Total
AUT,2015,11.9,Recorded
AUT,2015,0.46,Unrecorded
AUT,2016,12.090000000000002,Total
AUT,2016,11.63,Recorded
AUT,2016,0.46,Unrecorded
AUT,2017,12.07,Total
AUT,2017,11.63,Recorded
AUT,2017,0.44,Unrecorded
AUT,2018,12.129999999999999,Total
AUT,2018,11.7,Recorded
AUT,2018,0.43,Unrecorded
AUT,2019,12.129999999999999,Total
AUT,2019,11.7,Recorded
AUT,2019,0.43,Unrecorded
AUT,2020,11.66,Total
AUT,2020,11.21,Recorded
AUT,2020,0.45,Unrecorded
AZE,2000,1.51,Total
AZE,2000,0.51,Recorded
AZE,2000,1.0,Unrecorded
AZE,2001,1.51,Total
AZE,2001,0.51,Recorded
AZE,2001,1.0,Unrecorded
AZE,2002,1.52,Total
AZE,2002,0.52,Recorded
AZE,2002,1.0,Unrecorded
AZE,2003,1.56,Total
AZE,2003,0.56,Recorded
AZE,2003,1.0,Unrecorded
AZE,2004,1.62,Total
AZE,2004,0.62,Recorded
AZE,2004,1.0,Unrecorded
AZE,2005,1.72,Total
AZE,2005,0.72,Recorded
AZE,2005,1.0,Unrecorded
AZE,2006,1.81,Total
AZE,2006,0.81,Recorded
AZE,2006,1.0,Unrecorded
AZE,2007,1.92,Total
AZE,2007,0.92,Recorded
AZE,2007,1.0,Unrecorded
AZE,2008,1.85,Total
AZE,2008,0.85,Recorded
AZE,2008,1.0,Unrecorded
AZE,2009,1.88,Total
AZE,2009,0.88,Recorded
AZE,2009,1.0,Unrecorded
AZE,2010,1.73,Total
AZE,2010,0.73,Recorded
AZE,2010,1.0,Unrecorded
AZE,2011,1.71,Total
AZE,2011,0.71,Recorded
AZE,2011,1.0,Unrecorded
AZE,2012,1.46,Total
AZE,2012,0.46,Recorded
AZE,2012,1.0,Unrecorded
AZE,2013,1.37,Total
AZE,2013,0.37,Recorded
AZE,2013,1.0,Unrecorded
AZE,2014,1.3599999999999999,Total
AZE,2014,0.36,Recorded
AZE,2014,1.0,Unrecorded
AZE,2015,1.3900000000000001,Total
AZE,2015,0.39,Recorded
AZE,2015,1.0,Unrecorded
AZE,2016,1.41,Total
AZE,2016,0.41,Recorded
AZE,2016,1.0,Unrecorded
AZE,2017,1.53,Total
AZE,2017,0.53,Recorded
AZE,2017,1.0,Unrecorded
AZE,2018,1.88,Total
AZE,2018,0.88,Recorded
AZE,2018,1.0,Unrecorded
AZE,2019,1.88,Total
AZE,2019,0.88,Recorded
AZE,2019,1.0,Unrecorded
AZE,2020,2.35,Total
AZE,2020,1.35,Recorded
AZE,2020,1.0,Unrecorded
BHS,2000,10.72,Total
BHS,2000,10.42,Recorded
BHS,2000,0.3,Unrecorded
BHS,2001,10.72,Total
BHS,2001,10.42,Recorded
BHS,2001,0.3,Unrecorded
BHS,2002,10.31,Total
BHS,2002,10.0,Recorded
BHS,2002,0.31,Unrecorded
BHS,2003,10.120000000000001,Total
BHS,2003,9.81,Recorded
BHS,2003,0.31,Unrecorded
BHS,2004,10.1,Total
BHS,2004,9.79,Recorded
BHS,2004,0.31,Unrecorded
BHS,2005,10.4,Total
BHS,2005,10.1,Recorded
BHS,2005,0.3,Unrecorded
BHS,2006,10.7,Total
BHS,2006,10.41,Recorded
BHS,2006,0.29,Unrecorded
BHS,2007,10.84,Total
BHS,2007,10.55,Recorded
BHS,2007,0.29,Unrecorded
BHS,2008,10.38,Total
BHS,2008,10.08,Recorded
BHS,2008,0.3,Unrecorded
BHS,2009,9.9,Total
BHS,2009,9.59,Recorded
BHS,2009,0.31,Unrecorded
BHS,2010,9.61,Total
BHS,2010,9.29,Recorded
BHS,2010,0.32,Unrecorded
BHS,2011,9.67,Total
BHS,2011,9.36,Recorded
BHS,2011,0.31,Unrecorded
BHS,2012,9.690000000000001,Total
BHS,2012,9.38,Recorded
BHS,2012,0.31,Unrecorded
BHS,2013,9.68,Total
BHS,2013,9.37,Recorded
BHS,2013,0.31,Unrecorded
BHS,2014,9.66,Total
BHS,2014,9.35,Recorded
BHS,2014,0.31,Unrecorded
BHS,2015,9.690000000000001,Total
BHS,2015,9.38,Recorded
BHS,2015,0.31,Unrecorded
BHS,2016,9.700000000000001,Total
BHS,2016,9.4,Recorded
BHS,2016,0.3,Unrecorded
BHS,2017,9.72,Total
BHS,2017,9.42,Recorded
BHS,2017,0.3,Unrecorded
BHS,2018,9.75,Total
BHS,2018,9.46,Recorded
BHS,2018,0.29,Unrecorded
BHS,2019,9.75,Total
BHS,2019,9.46,Recorded
BHS,2019,0.29,Unrecorded
BHS,2020,8.11,Total
BHS,2020,7.78,Recorded
BHS,2020,0.33,Unrecorded
BHR,2000,3.0700000000000003,Total
BHR,2000,2.52,Recorded
BHR,2000,0.55,Unrecorded
BHR,2001,3.0700000000000003,Total
BHR,2001,2.52,Recorded
BHR,2001,0.55,Unrecorded
BHR,2002,2.86,Total
BHR,2002,2.34,Recorded
BHR,2002,0.52,Unrecorded
BHR,2003,2.72,Total
BHR,2003,2.22,Recorded
BHR,2003,0.5,Unrecorded
BHR,2004,2.62,Total
BHR,2004,2.14,Recorded
BHR,2004,0.48,Unrecorded
BHR,2005,2.5999999999999996,Total
BHR,2005,2.13,Recorded
BHR,2005,0.47,Unrecorded
BHR,2006,2.6100000000000003,Total
BHR,2006,2.14,Recorded
BHR,2006,0.47,Unrecorded
BHR,2007,2.6100000000000003,Total
BHR,2007,2.14,Recorded
BHR,2007,0.47,Unrecorded
BHR,2008,2.69,Total
BHR,2008,2.21,Recorded
BHR,2008,0.48,Unrecorded
BHR,2009,2.7399999999999998,Total
BHR,2009,2.26,Recorded
BHR,2009,0.48,Unrecorded
BHR,2010,2.68,Total
BHR,2010,2.2,Recorded
BHR,2010,0.48,Unrecorded
BHR,2011,2.59,Total
BHR,2011,2.13,Recorded
BHR,2011,0.46,Unrecorded
BHR,2012,2.44,Total
BHR,2012,2.01,Recorded
BHR,2012,0.43,Unrecorded
BHR,2013,2.38,Total
BHR,2013,1.96,Recorded
BHR,2013,0.42,Unrecorded
BHR,2014,2.2800000000000002,Total
BHR,2014,1.87,Recorded
BHR,2014,0.41,Unrecorded
BHR,2015,2.17,Total
BHR,2015,1.76,Recorded
BHR,2015,0.41,Unrecorded
BHR,2016,2.02,Total
BHR,2016,1.63,Recorded
BHR,2016,0.39,Unrecorded
BHR,2017,1.8900000000000001,Total
BHR,2017,1.52,Recorded
BHR,2017,0.37,Unrecorded
BHR,2018,1.7999999999999998,Total
BHR,2018,1.45,Recorded
BHR,2018,0.35,Unrecorded
BHR,2019,1.7999999999999998,Total
BHR,2019,1.45,Recorded
BHR,2019,0.35,Unrecorded
BHR,2020,1.43,Total
BHR,2020,1.13,Recorded
BHR,2020,0.3,Unrecorded
BGD,2000,0.0038,Total
BGD,2000,0.003,Recorded
BGD,2000,0.0008,Unrecorded
BGD,2001,0.0038,Total
BGD,2001,0.003,Recorded
BGD,2001,0.0008,Unrecorded
BGD,2002,0.0027,Total
BGD,2002,0.002,Recorded
BGD,2002,0.0007,Unrecorded
BGD,2003,0.0026,Total
BGD,2003,0.002,Recorded
BGD,2003,0.0006,Unrecorded
BGD,2004,0.0025,Total
BGD,2004,0.002,Recorded
BGD,2004,0.0005,Unrecorded
BGD,2005,0.0025,Total
BGD,2005,0.002,Recorded
BGD,2005,0.0005,Unrecorded
BGD,2006,0.0026,Total
BGD,2006,0.002,Recorded
BGD,2006,0.0006,Unrecorded
BGD,2007,0.0039,Total
BGD,2007,0.003,Recorded
BGD,2007,0.0009,Unrecorded
BGD,2008,0.0038,Total
BGD,2008,0.003,Recorded
BGD,2008,0.0008,Unrecorded
BGD,2009,0.0037,Total
BGD,2009,0.003,Recorded
BGD,2009,0.0007,Unrecorded
BGD,2010,0.0038,Total
BGD,2010,0.003,Recorded
