AreaCode,Year,Litres
COL,2000,4.5
COL,2001,4.3
COL,2002,4.3
COL,2003,4.1
COL,2004,4.1
COL,2005,4.3
COL,2006,4.4
COL,2007,4.5
COL,2008,4.4
COL,2009,4.2
COL,2010,4.2
COL,2011,4.3
COL,2012,4.4
COL,2013,4.3
COL,2014,4.2
COL,2015,4.2
COL,2016,4.5
COL,2017,4.2
COL,2018,4.2
COL,2019,4.1
CRI,1961,3.2
CRI,1962,2.9
CRI,1963,3.8
CRI,1964,3.7
CRI,1965,4.1
CRI,1966,4.6
CRI,1967,3.4
CRI,1968,3.5
CRI,1969,3.7
CRI,1970,3.7
CRI,1971,3.6
CRI,1972,3.8
CRI,1973,3.9
CRI,1974,3.7
CRI,1975,3.5
CRI,1976,4.0
CRI,1977,4.5
CRI,1978,5.2
CRI,1979,5.0
CRI,1980,4.6
CRI,1981,4.6
CRI,1982,4.7
CRI,1983,4.5
CRI,1984,4.9
CRI,1985,5.0
CRI,1986,4.9
CRI,1987,4.2
CRI,1988,5.5
CRI,1989,5.4
CRI,1990,6.1
CRI,1991,6.1
CRI,1992,5.6
CRI,1993,5.6
CRI,1994,6.1
CRI,1995,5.9
CRI,1996,5.6
CRI,1997,5.6
CRI,1998,5.6
CRI,1999,5.4
CRI,2000,4.2
CRI,2001,4.3
CRI,2002,4.2
CRI,2003,4.1
CRI,2004,4.1
CRI,2005,4.1
CRI,2006,4.2
CRI,2007,4.3
CRI,2008,4.3
CRI,2009,4.1
CRI,2010,3.7
CRI,2011,3.3
CRI,2012,3.2
CRI,2013,3.1
CRI,2014,3.2
CRI,2015,3.2
CRI,2016,3.4
CRI,2017,3.3
CRI,2018,3.3
CRI,2019,3.1
CRI,2020,3.2
CRI,2021,3.6
CRI,2022,3.5
CRI,2023,3.4
HRV,1987,13.5
HRV,1988,11.1
HRV,1989,10.9
HRV,1990,15.9
HRV,1991,13.7
HRV,1992,11.5
HRV,1993,11.3
HRV,1994,11.6
HRV,1995,10.9
HRV,1996,11.1
HRV,1997,13.2
HRV,1998,13.8
HRV,1999,12.2
HRV,2000,13.2
HRV,2001,13.7
HRV,2002,13.9
HRV,2003,13.0
HRV,2004,12.4
HRV,2005,10.7
HRV,2006,11.0
HRV,2007,11.4
HRV,2008,11.4
HRV,2009,11.1
HRV,2010,11.3
HRV,2011,11.2
HRV,2012,11.1
HRV,2013,10.6
HRV,2014,10.3
HRV,2015,10.2
HRV,2016,10.3
HRV,2017,10.2
HRV,2018,10.1
HRV,2019,10.1
HRV,2020,9.0
CZE,1980,11.7
CZE,1981,12.3
CZE,1982,11.9
CZE,1983,12.2
CZE,1984,12.0
CZE,1985,11.7
CZE,1986,11.3
CZE,1987,10.4
CZE,1988,10.5
CZE,1989,10.5
CZE,1990,11.3
CZE,1991,11.5
CZE,1992,11.8
CZE,1993,11.5
CZE,1994,11.6
CZE,1995,11.5
CZE,1996,11.6
CZE,1997,11.9
CZE,1998,11.8
CZE,1999,11.9
CZE,2000,11.8
CZE,2001,11.8
CZE,2002,11.9
CZE,2003,12.1
CZE,2004,11.5
CZE,2005,12.0
CZE,2006,11.9
CZE,2007,12.1
CZE,2008,12.1
CZE,2009,12.1
CZE,2010,11.4
CZE,2011,11.5
CZE,2012,11.6
CZE,2013,11.5
CZE,2014,11.9
CZE,2015,11.5
CZE,2016,11.7
CZE,2017,11.6
CZE,2018,11.8
CZE,2019,11.9
CZE,2020,11.6
CZE,2021,11.6
CZE,2022,11.6
DNK,1960,6.0
DNK,1965,7.4
DNK,1966,7.9
DNK,1967,8.0
DNK,1968,8.3
DNK,1969,8.9
DNK,1970,9.7
DNK,1971,10.0
DNK,1972,10.8
DNK,1973,11.7
DNK,1974,11.4
DNK,1975,12.3
DNK,1976,12.7
DNK,1977,12.3
DNK,1978,11.7
DNK,1979,12.3
DNK,1980,12.4
DNK,1981,12.9
DNK,1982,13.3
DNK,1983,13.7
DNK,1984,13.0
DNK,1985,13.1
DNK,1986,12.8
DNK,1987,12.5
DNK,1988,12.5
DNK,1989,12.2
DNK,1990,12.3
DNK,1991,12.2
DNK,1992,12.5
DNK,1993,12.3
DNK,1994,12.5
DNK,1995,12.7
DNK,1996,12.7
DNK,1997,12.6
DNK,1998,12.1
DNK,1999,12.1
DNK,2000,12.2
DNK,2001,12.0
DNK,2002,11.8
DNK,2003,12.0
DNK,2004,11.8
DNK,2005,11.8
DNK,2006,11.6
DNK,2007,11.6
DNK,2008,11.3
DNK,2009,10.6
DNK,2010,10.8
DNK,2011,11.0
DNK,2012,9.8
DNK,2013,10.0
DNK,2014,10.1
DNK,2015,9.9
DNK,2016,10.0
DNK,2017,9.7
DNK,2018,9.7
DNK,2019,9.5
DNK,2020,9.7
DNK,2021,10.4
DNK,2022,9.5
EST,1990,9.8
EST,1991,9.1
EST,1992,7.8
EST,1993,8.1
EST,1994,8.2
EST,1995,8.3
EST,1996,8.0
EST,1997,8.3
EST,1998,8.0
EST,1999,8.9
EST,2000,9.0
EST,2001,10.1
EST,2002,12.0
EST,2003,11.8
EST,2004,11.5
EST,2005,13.0
EST,2006,13.4
EST,2007,14.8
EST,2008,14.2
EST,2009,11.9
EST,2010,11.4
EST,2011,12.0
EST,2012,12.1
EST,2013,11.9
EST,2014,11.1
EST,2015,10.6
EST,2016,10.2
EST,2017,10.3
EST,2018,10.0
EST,2019,10.4
EST,2020,10.8
EST,2021,11.1
EST,2022,11.2
FIN,1960,2.7
FIN,1961,2.9
FIN,1962,3.0
FIN,1963,3.1
FIN,1964,3.1
FIN,1965,3.3
FIN,1966,3.5
FIN,1967,3.6
FIN,1968,3.9
FIN,1969,5.7
FIN,1970,5.8
FIN,1971,6.4
FIN,1972,6.8
FIN,1973,7.4
FIN,1974,8.4
FIN,1975,8.0
FIN,1976,8.1
FIN,1977,8.2
FIN,1978,7.9
FIN,1979,7.8
FIN,1980,7.9
FIN,1981,8.0
FIN,1982,7.9
FIN,1983,7.9
FIN,1984,8.1
FIN,1985,8.0
FIN,1986,8.5
FIN,1987,8.8
FIN,1988,9.0
FIN,1989,9.4
FIN,1990,9.5
FIN,1991,9.2
FIN,1992,8.9
FIN,1993,8.4
FIN,1994,8.2
FIN,1995,8.3
FIN,1996,8.2
FIN,1997,8.6
FIN,1998,8.6
FIN,1999,8.6
