AreaCode,Year,BeverageType,Litres
DZA,1990,Wine,0.0
DZA,1990,Spirits,0.01
DZA,1990,Others,0.0
DZA,1991,All,0.18
DZA,1991,Beer,0.17
DZA,1991,Wine,0.0
DZA,1991,Spirits,0.01
DZA,1991,Others,0.0
DZA,1992,All,0.2
DZA,1992,Beer,0.19
DZA,1992,Wine,0.0
DZA,1992,Spirits,0.01
DZA,1992,Others,0.0
DZA,1993,All,0.24
DZA,1993,Beer,0.23
DZA,1993,Wine,0.0
DZA,1993,Spirits,0.01
DZA,1993,Others,0.0
DZA,1994,All,0.25
DZA,1994,Beer,0.24
DZA,1994,Wine,0.0
DZA,1994,Spirits,0.01
DZA,1994,Others,0.0
DZA,1995,All,0.29
DZA,1995,Beer,0.28
DZA,1995,Wine,0.0
DZA,1995,Spirits,0.01
DZA,1995,Others,0.0
DZA,1996,All,0.29
DZA,1996,Beer,0.28
DZA,1996,Wine,0.0
DZA,1996,Spirits,0.01
DZA,1996,Others,0.0
DZA,1997,All,0.28
DZA,1997,Beer,0.27
DZA,1997,Wine,0.0
DZA,1997,Spirits,0.01
DZA,1997,Others,0.0
DZA,1998,All,0.26
DZA,1998,Beer,0.26
DZA,1998,Wine,0.0
DZA,1998,Spirits,0.01
DZA,1998,Others,0.0
DZA,1999,All,0.23
DZA,1999,Beer,0.22
DZA,1999,Wine,0.0
DZA,1999,Spirits,0.01
DZA,1999,Others,0.0
DZA,2000,All,0.28
DZA,2000,Beer,0.13
DZA,2000,Wine,0.14
DZA,2000,Spirits,0.006
DZA,2000,Others,0.0
DZA,2001,All,0.28
DZA,2001,Beer,0.13
DZA,2001,Wine,0.14
DZA,2001,Spirits,0.006
DZA,2001,Others,0.0
DZA,2002,All,0.31
DZA,2002,Beer,0.16
DZA,2002,Wine,0.14
DZA,2002,Spirits,0.013
DZA,2002,Others,0.0
DZA,2003,All,0.38
DZA,2003,Beer,0.2
DZA,2003,Wine,0.16
DZA,2003,Spirits,0.019
DZA,2003,Others,0.0
DZA,2004,All,0.43
DZA,2004,Beer,0.24
DZA,2004,Wine,0.16
DZA,2004,Spirits,0.022
DZA,2004,Others,0.0
DZA,2005,All,0.44
DZA,2005,Beer,0.24
DZA,2005,Wine,0.18
DZA,2005,Spirits,0.022
DZA,2005,Others,0.0
DZA,2006,All,0.4
DZA,2006,Beer,0.21
DZA,2006,Wine,0.17
DZA,2006,Spirits,0.023
DZA,2006,Others,0.0
DZA,2007,All,0.37
DZA,2007,Beer,0.18
DZA,2007,Wine,0.16
DZA,2007,Spirits,0.025
DZA,2007,Others,0.0
DZA,2008,All,0.38
DZA,2008,Beer,0.19
DZA,2008,Wine,0.16
DZA,2008,Spirits,0.03
DZA,2008,Others,0.0
DZA,2009,All,0.4
DZA,2009,Beer,0.2
DZA,2009,Wine,0.16
DZA,2009,Spirits,0.045
DZA,2009,Others,0.0
DZA,2010,All,0.41
DZA,2010,Beer,0.2
DZA,2010,Wine,0.15
DZA,2010,Spirits,0.061
DZA,2010,Others,0.0
DZA,2011,All,0.41
DZA,2011,Beer,0.21
DZA,2011,Wine,0.13
DZA,2011,Spirits,0.074
DZA,2011,Others,0.0
DZA,2012,All,0.45
DZA,2012,Beer,0.23
DZA,2012,Wine,0.14
DZA,2012,Spirits,0.076
DZA,2012,Others,0.0
DZA,2013,All,0.48
DZA,2013,Beer,0.26
DZA,2013,Wine,0.15
DZA,2013,Spirits,0.077
DZA,2013,Others,0.0
DZA,2014,All,0.52
DZA,2014,Beer,0.28
DZA,2014,Wine,0.16
DZA,2014,Spirits,0.078
DZA,2014,Others,0.0
DZA,2015,All,0.54
DZA,2015,Beer,0.3
DZA,2015,Wine,0.16
DZA,2015,Spirits,0.078
DZA,2015,Others,0.0
DZA,2016,All,0.56
DZA,2016,Beer,0.31
DZA,2016,Wine,0.17
DZA,2016,Spirits,0.079
DZA,2016,Others,0.0
DZA,2017,All,0.57
DZA,2017,Beer,0.31
DZA,2017,Wine,0.18
DZA,2017,Spirits,0.08
DZA,2017,Others,0.0
DZA,2018,All,0.57
DZA,2018,Beer,0.3
DZA,2018,Wine,0.19
DZA,2018,Spirits,0.079
DZA,2018,Others,0.0
DZA,2019,All,0.57
