AreaCode,Year,Sex,LitresPerCapita
AZE,2019,Female,6.01
AZE,2019,Male,16.4
AZE,2019,Total,13.16
AZE,2020,Female,7.31
AZE,2020,Male,20.02
AZE,2020,Total,16.05
BHS,2000,Female,4.74
BHS,2000,Male,12.47
BHS,2000,Total,9.17
BHS,2001,Female,4.74
BHS,2001,Male,12.47
BHS,2001,Total,9.17
BHS,2002,Female,4.58
BHS,2002,Male,12.05
BHS,2002,Total,8.86
BHS,2003,Female,4.51
BHS,2003,Male,11.87
BHS,2003,Total,8.73
BHS,2004,Female,4.5
BHS,2004,Male,11.84
BHS,2004,Total,8.7
BHS,2005,Female,4.6
BHS,2005,Male,12.14
BHS,2005,Total,8.91
BHS,2006,Female,4.7
BHS,2006,Male,12.44
BHS,2006,Total,9.11
BHS,2007,Female,4.75
BHS,2007,Male,12.59
BHS,2007,Total,9.21
BHS,2008,Female,4.59
BHS,2008,Male,12.16
BHS,2008,Total,8.9
BHS,2009,Female,4.43
BHS,2009,Male,11.72
BHS,2009,Total,8.59
BHS,2010,Female,4.33
BHS,2010,Male,11.45
BHS,2010,Total,8.4
BHS,2011,Female,4.35
BHS,2011,Male,11.54
BHS,2011,Total,8.45
BHS,2012,Female,4.36
BHS,2012,Male,11.56
BHS,2012,Total,8.46
BHS,2013,Female,4.35
BHS,2013,Male,11.55
BHS,2013,Total,8.45
BHS,2014,Female,4.34
BHS,2014,Male,11.53
BHS,2014,Total,8.43
BHS,2015,Female,4.35
BHS,2015,Male,11.55
BHS,2015,Total,8.44
BHS,2016,Female,4.35
BHS,2016,Male,11.57
BHS,2016,Total,8.44
BHS,2017,Female,4.35
BHS,2017,Male,11.57
BHS,2017,Total,8.44
BHS,2018,Female,4.35
BHS,2018,Male,11.59
BHS,2018,Total,8.44
BHS,2019,Female,4.35
BHS,2019,Male,11.59
BHS,2019,Total,8.44
BHS,2020,Female,3.79
BHS,2020,Male,10.06
BHS,2020,Total,7.38
BHR,2000,Female,5.95
BHR,2000,Male,15.86
BHR,2000,Total,13.78
BHR,2001,Female,5.95
BHR,2001,Male,15.86
BHR,2001,Total,13.78
BHR,2002,Female,5.55
BHR,2002,Male,14.81
BHR,2002,Total,12.88
BHR,2003,Female,5.25
BHR,2003,Male,13.99
BHR,2003,Total,12.18
BHR,2004,Female,4.99
BHR,2004,Male,13.29
BHR,2004,Total,11.59
BHR,2005,Female,4.87
BHR,2005,Male,12.94
BHR,2005,Total,11.32
BHR,2006,Female,4.76
