AreaCode,PublicPlace,Restriction
ISL,Public transport,Voluntary/self-restricted
ISL,Government offices,Voluntary/self-restricted
ISL,Workplaces,Voluntary/self-restricted
ISR,Parks and streets,Ban
ISR,Workplaces,Partial restriction
ISR,Sporting events,Partial restriction
ISR,Places of worship,Partial restriction
ISR,Leisure events,Partial restriction
ISR,Healthcare establishments,Partial restriction
ISR,Government offices,Partial restriction
ISR,Educational buildings,Partial restriction
ISR,Public transport,Partial restriction
ITA,Healthcare establishments,Ban
ITA,Educational buildings,Ban
ITA,Places of worship,No restrictions
ITA,Public transport,Ban
ITA,Workplaces,Partial restriction
ITA,Parks and streets,Partial restriction
ITA,Leisure events,Partial restriction
ITA,Sporting events,Partial restriction
ITA,Government offices,Voluntary/self-restricted
JAM,Places of worship,Voluntary/self-restricted
JAM,Public transport,Voluntary/self-restricted
JAM,Parks and streets,Voluntary/self-restricted
JAM,Leisure events,Voluntary/self-restricted
JAM,Workplaces,Voluntary/self-restricted
JAM,Educational buildings,Voluntary/self-restricted
JAM,Government offices,Ban
JAM,Sporting events,Voluntary/self-restricted
JAM,Healthcare establishments,Voluntary/self-restricted
JOR,Educational buildings,Ban
JOR,Sporting events,Ban
JOR,Places of worship,Ban
JOR,Public transport,Ban
JOR,Parks and streets,Ban
JOR,Leisure events,Ban
JOR,Healthcare establishments,Ban
JOR,Government offices,Ban
JOR,Workplaces,Ban
JPN,Educational buildings,No restrictions
JPN,Government offices,No restrictions
JPN,Healthcare establishments,No restrictions
JPN,Leisure events,No restrictions
JPN,Parks and streets,No restrictions
JPN,Public transport,No restrictions
JPN,Places of worship,No restrictions
JPN,Sporting events,No restrictions
JPN,Workplaces,No restrictions
KAZ,Healthcare establishments,Ban
KAZ,Educational buildings,Ban
KAZ,Government offices,Ban
KAZ,Workplaces,Ban
KAZ,Sporting events,Ban
KAZ,Places of worship,Ban
KAZ,Public transport,Ban
KAZ,Parks and streets,Ban
KAZ,Leisure events,Ban
KEN,Places of worship,Partial restriction
KEN,Healthcare establishments,Ban
KEN,Public transport,No restrictions
KEN,Parks and streets,No restrictions
KEN,Leisure events,No restrictions
KEN,Government offices,Ban
KEN,Educational buildings,Ban
KEN,Workplaces,Ban
KEN,Sporting events,No restrictions
KGZ,Parks and streets,No data
KGZ,Educational buildings,No data
KGZ,Government offices,No data
KGZ,Healthcare establishments,No data
KGZ,Leisure events,No data
KGZ,Public transport,No data
KGZ,Places of worship,No data
KGZ,Sporting events,No data
KGZ,Workplaces,No data
KHM,Workplaces,Voluntary/self-restricted
KHM,Places of worship,Ban
KHM,Healthcare establishments,Ban
KHM,Government offices,Ban
KHM,Sporting events,No restrictions
KHM,Public transport,No restrictions
KHM,Parks and streets,No restrictions
KHM,Leisure events,No restrictions
KHM,Educational buildings,Ban
KIR,Leisure events,No restrictions
KIR,Parks and streets,No restrictions
KIR,Places of worship,Partial restriction
KIR,Sporting events,No restrictions
KIR,Educational buildings,Ban
KIR,Government offices,Ban
KIR,Healthcare establishments,Ban
KIR,Public transport,Ban
KIR,Workplaces,Ban
KNA,Workplaces,No restrictions
KNA,Sporting events,No restrictions
KNA,Places of worship,No restrictions
KNA,Educational buildings,Partial restriction
KNA,Public transport,No restrictions
KNA,Leisure events,No restrictions
