Category,AreaCode,BeverageType,Tax,Comments
Others,CIV,Spirits,0,
Others,CMR,Beer,0,
Others,CMR,Spirits,0,
Others,COD,Beer,0,
Others,COD,Spirits,0,
Others,COG,Beer,0,
Others,COG,Spirits,0,
Others,COK,Beer,0,
Others,COK,Spirits,0,
Others,COL,Beer,0,
Others,COL,Spirits,0,
Others,CPV,Beer,0.24,
Others,CPV,Spirits,0.22,
Others,CRI,Beer,3.2,
Others,CRI,Spirits,2.25,
Others,CUB,Beer,0,
Others,CUB,Spirits,0,
Others,CYP,Beer,0,
Others,CYP,Spirits,0,
Others,CZE,Beer,0,
Others,CZE,Spirits,0,
Others,DEU,Beer,0,
Others,DEU,Spirits,0,
Others,DMA,Beer,0,
Others,DMA,Spirits,0,
Others,DNK,Beer,0,
Others,DNK,Spirits,0,
Others,DOM,Beer,0,
Others,DOM,Spirits,0,
Others,ECU,Beer,0,
Others,ECU,Spirits,0,
Others,EGY,Beer,0,
Others,EGY,Spirits,0,
Others,ERI,Beer,0,
Others,ERI,Spirits,0,
Others,ESP,Beer,0,
Others,ESP,Spirits,0,
Others,EST,Beer,0,
Others,EST,Spirits,0,
Others,ETH,Beer,7.54,
Others,ETH,Spirits,7.41,
Others,FIN,Beer,0,
Others,FIN,Spirits,0,
Others,FJI,Beer,0,
Others,FJI,Spirits,0,
Others,GAB,Beer,0,
Others,GAB,Spirits,0,
Others,GBR,Beer,0,
Others,GBR,Spirits,0,
Others,GEO,Beer,0,
Others,GEO,Spirits,0,
Others,GHA,Beer,5.5,Retail price and tax data collected as of 31 January 2023.
Others,GHA,Spirits,5.5,Retail price and tax data collected as of 31 January 2023.
Others,GIN,Beer,0,
Others,GMB,Beer,0,
Others,GMB,Spirits,0,
Others,GNB,Beer,0.63,
Others,GNB,Spirits,0.48,
Others,GNQ,Beer,0,
Others,GRC,Beer,0,
Others,GRC,Spirits,0,
Others,GRD,Beer,0,
Others,GRD,Spirits,0,
Others,GTM,Beer,0,
Others,GTM,Spirits,0,
Others,GUY,Beer,2.78,
Others,GUY,Spirits,0.71,
Others,HND,Beer,0,
Others,HND,Spirits,0,
Others,HRV,Beer,0,
Others,HRV,Spirits,0,
Others,HTI,Beer,1.27,Retail price and tax data collected as of 31 March 2023.
Others,HTI,Spirits,1.27,Retail price and tax data collected as of 31 March 2023.
Others,HUN,Beer,0,
Others,HUN,Spirits,0,
Others,IDN,Beer,0,
Others,IDN,Spirits,0,
Others,IRL,Beer,0,
Others,IRL,Spirits,0,
Others,IRQ,Beer,0,
Others,IRQ,Spirits,0,
Others,ISL,Beer,0,
Others,ISL,Spirits,0,
Others,ITA,Beer,0,
Others,ITA,Spirits,0,
Others,JAM,Beer,0,
Others,JAM,Spirits,0,
Others,JPN,Beer,0,
Others,JPN,Spirits,0,
Others,KAZ,Beer,0,
Others,KAZ,Spirits,0,
Others,KEN,Beer,0,
Others,KEN,Spirits,0,
Others,KGZ,Beer,0,
Others,KGZ,Spirits,0,
Others,KHM,Beer,2.65,
Others,KIR,Beer,0,
Others,KIR,Spirits,0,
Others,KOR,Beer,13.39,
Others,KOR,Spirits,17.95,
Others,LBN,Beer,0,
Others,LBN,Spirits,0,
Others,LBR,Beer,0,
Others,LBR,Spirits,0,
Others,LCA,Beer,0,
Others,LCA,Spirits,0,
Others,LKA,Beer,0,
Others,LKA,Spirits,0,
Others,LTU,Beer,0,
Others,LTU,Spirits,0,
Others,LVA,Beer,0,
Others,LVA,Spirits,0,
Others,MAR,Beer,0.14,
Others,MAR,Spirits,0.14,
Others,MDG,Beer,0,
Others,MDG,Spirits,0,
Others,MEX,Beer,0,
Others,MEX,Spirits,0,
Others,MHL,Beer,0,
Others,MHL,Spirits,0,
Others,MLI,Beer,0.69,
Others,MMR,Beer,0,
Others,MMR,Spirits,0,
Others,MNG,Beer,0.9,
Others,MNG,Spirits,0.9,
Others,MOZ,Beer,0,
Others,MOZ,Spirits,0,
Others,MUS,Beer,3.64,
Others,MUS,Spirits,0,
Others,MWI,Beer,0,
Others,MWI,Spirits,0,
Others,NAM,Beer,0,
Others,NAM,Spirits,0,
Others,NER,Beer,0,
Others,NER,Spirits,0,
Others,NIC,Beer,0,
Others,NIC,Spirits,0,
Others,NLD,Beer,0,
Others,NLD,Spirits,0,
Others,NOR,Beer,7.27,
Others,NOR,Spirits,0.36,
Others,NRU,Beer,0,
Others,NRU,Spirits,0,
Others,PAN,Beer,0,
Others,PAN,Spirits,0,
Others,PER,Beer,0,
Others,PER,Spirits,0,
Others,PHL,Beer,0,
Others,PHL,Spirits,0,
Others,PLW,Beer,0,
Others,PLW,Spirits,0,
Others,PNG,Beer,0,
Others,POL,Beer,0,
Others,POL,Spirits,0,
Others,PRT,Beer,0,
Others,PRT,Spirits,0,
Others,PRY,Beer,0,
Others,PRY,Spirits,0,
Others,ROU,Beer,0,
Others,ROU,Spirits,0,
Others,RWA,Beer,0,
Others,RWA,Spirits,0,
Others,SEN,Beer,0.85,
Others,SEN,Spirits,0.4,
Others,SLE,Beer,0,
Others,SLE,Spirits,0,
Others,SLV,Beer,0,
Others,SLV,Spirits,0,
Others,SSD,Beer,6.14,
Others,SSD,Spirits,2.8,
Others,STP,Spirits,0,
Others,SUR,Beer,0,
Others,SUR,Spirits,0.18,
Others,SVK,Beer,0,
Others,SVK,Spirits,0,
Others,SVN,Beer,0,
Others,SVN,Spirits,0,
Others,SWE,Beer,0,
Others,SWE,Spirits,0,
Others,SWZ,Beer,2.21,
Others,SWZ,Spirits,4.81,
Others,SYC,Beer,6.67,
Others,SYC,Spirits,0.53,
Others,TGO,Beer,0,
Others,TGO,Spirits,0,
Others,THA,Beer,5.64,
Others,THA,Spirits,5.98,
Others,TON,Beer,0,
Others,TON,Spirits,0,Retail price collected as of 31 January 2023.
Others,TUN,Beer,0,
Others,TUN,Spirits,0,
Others,TUR,Beer,0,
Others,TUR,Spirits,0,
Others,TUV,Beer,0,
Others,TZA,Beer,0,
Others,TZA,Spirits,0,
Others,UGA,Beer,0,
Others,UGA,Spirits,0,
Others,UKR,Beer,0,
Others,UKR,Spirits,0,
Others,URY,Beer,0,
Others,URY,Spirits,0,
Others,UZB,Beer,0,
Others,UZB,Spirits,0,
Others,VCT,Beer,8.33,
Others,VCT,Spirits,0,
Others,VEN,Beer,0,
Others,VEN,Spirits,0,
Others,VUT,Beer,0,
Others,WSM,Beer,0,
Others,ZAF,Beer,0,
Others,ZAF,Spirits,0,
Others,ZMB,Beer,0,
Others,ZMB,Spirits,0,
Others,ZWE,Beer,0,
Others,ZWE,Spirits,0,
Total,ALB,Beer,28.26,
Total,ALB,Spirits,54.83,
Total,ARG,Beer,27.16,
Total,ARG,Spirits,35.95,
Total,ATG,Beer,22.28,
Total,ATG,Spirits,19.73,
Total,AUS,Beer,26.82,
Total,AUS,Spirits,65.59,
Total,AUT,Beer,24.4,
Total,AUT,Spirits,35.77,
Total,AZE,Beer,25.25,
Total,AZE,Spirits,37.83,
Total,BDI,Beer,29.8,
Total,BDI,Spirits,21.2,
Total,BEL,Beer,28.46,
