Cause,AreaCode,Sex,Deaths,LitresPerCapita,Population
PercentLiverCirrhosis,HTI,Both,36.72,3.45,7447.965
PercentLiverCirrhosis,HTI,Female,31.52,1.4,3782.429
PercentLiverCirrhosis,HTI,Male,39.88,5.57,3665.544
PercentLiverCirrhosis,HND,Both,32.26,3.17,6698.103
PercentLiverCirrhosis,HND,Female,27.48,1.22,3348.448
PercentLiverCirrhosis,HND,Male,38.38,5.1,3349.6549999999997
PercentLiverCirrhosis,HUN,Both,70.48,10.6,8348.799
PercentLiverCirrhosis,HUN,Female,59.7,4.68,4400.679
PercentLiverCirrhosis,HUN,Male,74.57,17.22,3948.123
PercentLiverCirrhosis,ISL,Both,59.38,8.07,292.626
PercentLiverCirrhosis,ISL,Female,52.96,3.7,142.645
PercentLiverCirrhosis,ISL,Male,62.69,12.28,149.986
PercentLiverCirrhosis,IND,Both,51.43,4.92,1016321.205
PercentLiverCirrhosis,IND,Female,32.55,1.56,493792.266
PercentLiverCirrhosis,IND,Male,59.06,8.1,522528.941
PercentLiverCirrhosis,IDN,Both,10.99,0.11,201391.576
PercentLiverCirrhosis,IDN,Female,11.04,0.027,100950.48300000001
PercentLiverCirrhosis,IDN,Male,10.95,0.19,100441.096
PercentLiverCirrhosis,IRN,Both,8.98,0.7,66234.921
PercentLiverCirrhosis,IRN,Female,3.56,0.15,32616.401
PercentLiverCirrhosis,IRN,Male,12.01,1.25,33618.522
PercentLiverCirrhosis,IRQ,Both,11.14,0.24,25163.845
PercentLiverCirrhosis,IRQ,Female,9.75,0.061,12750.066
PercentLiverCirrhosis,IRQ,Male,12.09,0.43,12413.78
PercentLiverCirrhosis,IRL,Both,71.26,11.7,3926.436
PercentLiverCirrhosis,IRL,Female,64.18,5.58,1998.536
PercentLiverCirrhosis,IRL,Male,74.78,18.06,1927.899
PercentLiverCirrhosis,ISR,Both,38.14,3.01,6222.604
PercentLiverCirrhosis,ISR,Female,35.31,1.28,3171.619
PercentLiverCirrhosis,ISR,Male,40.47,4.78,3050.987
PercentLiverCirrhosis,ITA,Both,60.05,7.97,52298.848999999995
PercentLiverCirrhosis,ITA,Female,52.08,3.54,27001.207000000002
PercentLiverCirrhosis,ITA,Male,64.88,12.72,25297.645
PercentLiverCirrhosis,JAM,Both,35.77,3.6,2226.776
PercentLiverCirrhosis,JAM,Female,30.74,1.44,1131.526
PercentLiverCirrhosis,JAM,Male,38.8,5.83,1095.251
PercentLiverCirrhosis,JPN,Both,55.82,6.68,111031.064
PercentLiverCirrhosis,JPN,Female,48.37,2.89,57175.537
PercentLiverCirrhosis,JPN,Male,59.63,10.74,53855.529
PercentLiverCirrhosis,JOR,Both,11.01,0.31,7120.015
PercentLiverCirrhosis,JOR,Female,9.6,0.072,3397.022
PercentLiverCirrhosis,JOR,Male,12.21,0.52,3722.998
PercentLiverCirrhosis,KAZ,Both,52.19,4.52,13636.155
PercentLiverCirrhosis,KAZ,Female,34.65,1.43,7206.807
PercentLiverCirrhosis,KAZ,Male,64.27,8.06,6429.349
PercentLiverCirrhosis,KEN,Both,36.43,2.87,30788.828
PercentLiverCirrhosis,KEN,Female,27.58,1.0,15569.702000000001
PercentLiverCirrhosis,KEN,Male,42.44,4.78,15219.126
PercentLiverCirrhosis,KIR,Both,17.11,0.76,80.381
PercentLiverCirrhosis,KIR,Female,16.79,0.26,42.489
PercentLiverCirrhosis,KIR,Male,17.29,1.31,37.893
PercentLiverCirrhosis,KWT,Both,1.79,0.0,3519.214
PercentLiverCirrhosis,KWT,Female,0.98,0.0,1283.693
PercentLiverCirrhosis,KWT,Male,1.93,0.0,2235.521
PercentLiverCirrhosis,KGZ,Both,53.9,4.95,4376.389
PercentLiverCirrhosis,KGZ,Female,35.27,1.47,2245.301
PercentLiverCirrhosis,KGZ,Male,63.91,8.7,2131.088
PercentLiverCirrhosis,LAO,Both,70.29,11.52,4927.323
PercentLiverCirrhosis,LAO,Female,56.91,4.85,2463.817
PercentLiverCirrhosis,LAO,Male,76.82,18.15,2463.51
PercentLiverCirrhosis,LVA,Both,58.05,13.09,1609.128
PercentLiverCirrhosis,LVA,Female,65.0,5.99,883.3580000000001
PercentLiverCirrhosis,LVA,Male,53.87,21.73,725.772
PercentLiverCirrhosis,LBN,Both,22.96,1.48,4177.424
PercentLiverCirrhosis,LBN,Female,15.52,0.4,2185.58
PercentLiverCirrhosis,LBN,Male,27.91,2.65,1991.843
PercentLiverCirrhosis,LSO,Both,49.79,4.54,1412.434
PercentLiverCirrhosis,LSO,Female,34.63,1.43,737.961
PercentLiverCirrhosis,LSO,Male,59.67,7.79,674.475
PercentLiverCirrhosis,LBR,Both,38.55,3.64,2939.626
PercentLiverCirrhosis,LBR,Female,30.87,1.43,1490.202
PercentLiverCirrhosis,LBR,Male,44.11,5.94,1449.424
PercentLiverCirrhosis,LBY,Both,3.65,0.008,4873.854
PercentLiverCirrhosis,LBY,Female,2.25,0.002,2398.542
PercentLiverCirrhosis,LBY,Male,4.74,0.015,2475.314
PercentLiverCirrhosis,LTU,Both,56.52,11.79,2372.721
PercentLiverCirrhosis,LTU,Female,63.77,5.39,1288.993
PercentLiverCirrhosis,LTU,Male,52.15,19.34,1083.73
PercentLiverCirrhosis,LUX,Both,70.63,11.53,520.818
PercentLiverCirrhosis,LUX,Female,63.06,5.44,259.795
PercentLiverCirrhosis,LUX,Male,73.74,17.6,261.022
PercentLiverCirrhosis,MDG,Both,18.39,1.02,16748.017
PercentLiverCirrhosis,MDG,Female,18.18,0.35,8398.624
PercentLiverCirrhosis,MDG,Male,18.54,1.69,8349.393
PercentLiverCirrhosis,MWI,Both,42.04,3.24,10717.457
PercentLiverCirrhosis,MWI,Female,25.68,1.16,5587.527
PercentLiverCirrhosis,MWI,Male,48.6,5.52,5129.932
PercentLiverCirrhosis,MYS,Both,15.86,0.76,25256.307
PercentLiverCirrhosis,MYS,Female,13.87,0.21,11910.652
PercentLiverCirrhosis,MYS,Male,16.84,1.29,13345.653
PercentLiverCirrhosis,MDV,Both,23.93,1.43,382.037
PercentLiverCirrhosis,MDV,Female,13.44,0.27,140.198
PercentLiverCirrhosis,MDV,Male,29.51,2.22,241.845
PercentLiverCirrhosis,MLI,Both,45.24,4.35,11043.866
PercentLiverCirrhosis,MLI,Female,27.43,1.22,5476.6759999999995
PercentLiverCirrhosis,MLI,Male,56.78,7.42,5567.188999999999
PercentLiverCirrhosis,MLT,Both,61.96,8.52,435.697
PercentLiverCirrhosis,MLT,Female,54.59,3.79,212.276
PercentLiverCirrhosis,MLT,Male,64.36,13.03,223.426
PercentLiverCirrhosis,MRT,Both,3.03,0.0,2502.643
PercentLiverCirrhosis,MRT,Female,1.95,0.0,1310.868
PercentLiverCirrhosis,MRT,Male,3.88,0.0,1191.778
